domain,scripts,Prediction
www.rona.ca,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,0
www.rona.ca,https://ob.cheqzone.com/clicktrue_invocation.js?id=4362,1.0
epson.ca,https://huge.superpinkday.com/i/3e4826817dca3b5f5c9263dc639c075e.js,0
posterjack.ca,https://posterjack.ca/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.moroccanoil.com,https://www.moroccanoil.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
knix.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,0
www.springfreetrampoline.com,https://www.springfreetrampoline.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.riversol.com,https://www.riversol.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
spanx.com,https://spanx.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.purelyinspired.com,https://www.purelyinspired.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
velourbeauty.com,https://velourbeauty.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.sixstarpro.com,https://www.sixstarpro.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.peace-collective.com,https://www.peace-collective.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
www.cloudninepajamas.com,https://www.cloudninepajamas.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
duer.ca,https://duer.ca/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
ethique.com,https://dashboard.heatmap.com/heatmap-light.min.js?sid=2093,0
hillbergandberk.com,https://hillbergandberk.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
hillbergandberk.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,0
www.mosaicmfg.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,0
www.warehouseone.com,https://td.yieldify.com/yieldify/code.js?w_uuid=5d6064f6-6f92-4bb9-baa6-8531ed09d577&k=1&loca=https://www.warehouseone.com/,0
myvega.com,https://myvega.com/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
montrealweights.ca,https://montrealweights.ca/cdn/wpm/b824aa407wedf31629p82148be7m93a8829dm.js,0
