domain,scripts,Prediction
www.garageclothing.xyz,https://cdn.noibu.com/collect-recording.js,0
www.moroccanoil.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DzvoHOYt.js,2
www.moroccanoil.com,https://cdn.shopify.com/bcb595c94wbdec8764p46f79f92m537d07b8m.js,2
www.moroccanoil.com,https://cdn.shopify.com/b15fbfee8w0f6813bdp678f2153m2f4ee9cam.js,2
posterjack.ca,https://cdn.shopify.com/b43216b12w8b756714pa1ef4114mdff5bc02m.js,2
posterjack.ca,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.q5xWovEY.js,2
www.riversol.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.riversol.com,https://cdn.shopify.com/bb519f743wf7390a5dpf633394amcee913e5m.js,2
www.riversol.com,https://www.riversol.com/cdn/wpm/bb519f743wf7390a5dpf633394amcee913e5m.js,0
cdnsolar.ca,https://tools.luckyorange.com/core/core.js?v=a19a519,0
www.peace-collective.com,https://cdn.shopify.com/shopifycloud/checkout-web/assets/c1.en/app.DjRXY3aw.js,2
www.peace-collective.com,https://cdn.shopify.com/b4d6b725aw7b7d67b3paeba6abfm5ed26ec3m.js,2
