domain,scripts,Prediction
intl.cloud.baidu.com,https://fxgate.baidu.com/angelia/fcagl.js?production=_f7L2XwGXjyszb4d1e2oxPybgD,0
intl.cloud.baidu.com,https://bce.bdstatic.com/p3m/I18N/online/UserGuide/doc/UserGuide/s/commons-01fa447dd7a31ea2c56c.js,0
cloud.reg.ru,https://mc.yandex.ru/metrika/tag.js,0
soundcloud.com,https://dwt.soundcloud.com/tags.js,1
soundcloud.com,https://a-v2.sndcdn.com/assets/49-e9cbec73.js,0
app.launchdarkly.com,https://edge.fullstory.com/s/fs.js,0
login.consultant.ru,https://mc.yandex.ru/metrika/tag.js,0
login.taobao.com,https://g.alicdn.com/AWSC/et/1.83.8/et_f.js,2
login.taobao.com,https://g.alicdn.com/vip/havana-nlogin/0.10.21/index.js,2
login.taobao.com,https://g.alicdn.com/AWSC/fireyejs/1.231.13/fireyejs.js,2
login.alibaba.com,https://g.alicdn.com/AWSC/et/1.82.2/et_f.js,2
ngenix.net,https://mc.yandex.ru/metrika/tag.js,0
id.rambler.ru,https://mc.yandex.ru/metrika/tag.js,0
id.rambler.ru,https://id.rambler.ru/_id/2.75.3/_next/static/chunks/pages/_app-ffac1d742c424b57.js,0
secure.telegraph.co.uk,https://cdn.quantummetric.com/qscripts/quantum-telegraph.js,0
ok.ru,https://mc.yandex.ru/metrika/tag.js,0
www.amazon.com,https://m.media-amazon.com/images/I/71EOqyQDjOL.js?AUIClients/FWCIMAssets,2
www.amazon.com,https://images-na.ssl-images-amazon.com/images/I/216YVwoRFDL.js,0
www.tiktok.com,https://sf16-website-login.neutral.ttwstatic.com/obj/tiktok_web_login_static/tiktok/webapp/main/react-v17/webapp-desktop/npm-dp-byted-tea-sdk-oversea.d8d570e810be06365650.js,2
www.tiktok.com,https://sf16-website-login.neutral.ttwstatic.com/obj/tiktok_web_login_static/tiktok_privacy_protection_framework/loader/1.0.0.860/index.js,2
world.taobao.com,https://g.alicdn.com/AWSC/et/1.83.8/et_f.js,2
