domain,scripts,Prediction
www.stevemadden.com,https://www.stevemadden.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.aloyoga.com,https://www.aloyoga.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
verabradley.com,https://verabradley.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
verabradley.com,https://cdn.noibu.com/collect-core.js?shop=verabradley-live.myshopify.com,
colourpop.com,https://colourpop.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
spanx.com,https://spanx.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
soldejaneiro.com,https://soldejaneiro.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.toysrus.com,https://www.toysrus.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
mejuri.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.heydude.com,https://www.heydude.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
timex.com,https://timex.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
beistravel.com,https://beistravel.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.allbirds.com,https://www.allbirds.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.blackanddecker.com,https://www.blackanddecker.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.harpercollins.com,https://www.harpercollins.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.drsquatch.com,https://www.drsquatch.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.schwinnbikes.com,https://www.schwinnbikes.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.nativecos.com,https://www.nativecos.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
stetson.com,https://stetson.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.tipsyelves.com,https://www.tipsyelves.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
hoover.com,https://hoover.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
littlesleepies.com,https://littlesleepies.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
balticborn.com,https://balticborn.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.rugsusa.com,https://www.rugsusa.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.radpowerbikes.com,https://www.radpowerbikes.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
saltandstraw.com,https://saltandstraw.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
tnuck.com,https://tnuck.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.imgacademy.com,https://script.hotjar.com/modules.4784248f2d9a4852c40b.js,
www.tommyjohn.com,https://cdn.signalfx.com/o11y-gdi-rum/latest/splunk-otel-web-session-recorder.js,
www.dolcevita.com,https://www.dolcevita.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.outdoorresearch.com,https://www.outdoorresearch.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.mynuface.com,https://www.mynuface.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.brooklinen.com,https://www.brooklinen.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
orgain.com,https://orgain.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.jackery.com,https://www.jackery.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
betseyjohnson.com,https://betseyjohnson.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.kidrobot.com,https://www.kidrobot.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.popflexactive.com,https://www.popflexactive.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.100percentpure.com,https://www.100percentpure.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.calpaktravel.com,https://www.calpaktravel.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
7forallmankind.com,https://7forallmankind.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
hexclad.com,https://hexclad.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
bluemercury.com,https://ob.andstarsbuilding.com/i/3c50e40adb415ffcfe072874389d1c6e.js,
bluemercury.com,https://bluemercury.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.deathwishcoffee.com,https://www.deathwishcoffee.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.aviatornation.com,https://www.aviatornation.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
drinklmnt.com,https://drinklmnt.com/build/_shared/chunk-DKCHK2V6.js,
oliveandjune.com,https://oliveandjune.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.meritbeauty.com,https://www.meritbeauty.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
www.kissusa.com,https://www.kissusa.com/cdn/wpm/b25defc1cw623deafep7265ec1cm5d91da82m.js,
